sectionFamily,sessionType,trackName,observationRows,medianPercentile,meanPercentile,topQuartileShare,bottomQuartileShare,sourceHash
I11 to 12,practice,Streets of Detroit,134,0.4437,0.4513,0.1045,0.194,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
I12 to I13,practice,Streets of Detroit,134,0.4472,0.4648,0.1567,0.2537,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
I14 to I15,practice,Streets of Detroit,135,0.4211,0.4369,0.1333,0.2593,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
I15 to I16,practice,Streets of Detroit,135,0.5,0.4662,0.1333,0.237,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
I2 to I3,practice,Streets of Detroit,134,0.3819,0.3816,0.0522,0.2985,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
I2A to I2,practice,Streets of Detroit,134,0.6087,0.5639,0.2761,0.1418,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
I3 to I4,practice,Streets of Detroit,134,0.5,0.4638,0.1418,0.2687,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
I4 to I5,practice,Streets of Detroit,134,0.5359,0.5034,0.2761,0.2761,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
I5 to I6,practice,Streets of Detroit,134,0.4891,0.4927,0.2164,0.2164,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
I6 to I7,practice,Streets of Detroit,134,0.4667,0.4616,0.1343,0.2388,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
I7 to I8,practice,Streets of Detroit,134,0.5217,0.5073,0.194,0.1791,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
I8 to I9,practice,Streets of Detroit,134,0.5298,0.5373,0.194,0.097,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
I9 to I10,practice,Streets of Detroit,134,0.4667,0.4858,0.209,0.209,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Back Str 2,qualifying,Streets of Detroit,20,0.625,0.5771,0.2,0.15,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
I1 to I2A,qualifying,Streets of Detroit,17,0.3,0.3631,0.1176,0.3529,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
I10 to I11,qualifying,Streets of Detroit,17,0.3,0.3148,0.0588,0.3529,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
I11 to 12,qualifying,Streets of Detroit,17,0.2,0.2343,0.0588,0.5882,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
I12 to I13,qualifying,Streets of Detroit,17,0.5,0.4532,0.2353,0.3529,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
I14 to I15,qualifying,Streets of Detroit,16,0.35,0.3661,0.0,0.375,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
I15 to I16,qualifying,Streets of Detroit,16,0.3485,0.3276,0.0,0.375,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
I2 to I3,qualifying,Streets of Detroit,17,0.3636,0.3592,0.0588,0.3529,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
I2A to I2,qualifying,Streets of Detroit,17,0.6,0.6248,0.3529,0.1176,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
I3 to I4,qualifying,Streets of Detroit,17,0.4545,0.4314,0.1176,0.2941,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
I4 to I5,qualifying,Streets of Detroit,17,0.4444,0.4036,0.0588,0.3529,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
I5 to I6,qualifying,Streets of Detroit,17,0.7,0.6312,0.4706,0.1765,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
I6 to I7,qualifying,Streets of Detroit,17,0.5,0.4675,0.2353,0.2353,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
I7 to I8,qualifying,Streets of Detroit,17,0.5,0.4495,0.1176,0.2941,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
I8 to I9,qualifying,Streets of Detroit,17,0.3636,0.3783,0.0588,0.2353,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
I9 to I10,qualifying,Streets of Detroit,17,0.25,0.2485,0.0588,0.5882,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 1,practice,Streets of St. Petersburg,108,0.45,0.4478,0.1019,0.25,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 10,practice,Streets of St. Petersburg,109,0.3529,0.4062,0.0734,0.3211,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 4,practice,Streets of St. Petersburg,109,0.4118,0.4242,0.1284,0.2752,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 9,practice,Streets of St. Petersburg,109,0.55,0.5463,0.2294,0.1468,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 9a,practice,Streets of St. Petersburg,109,0.5,0.4939,0.156,0.1468,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turns 11/12,practice,Streets of St. Petersburg,109,0.4348,0.473,0.1743,0.211,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turns 13/14,practice,Streets of St. Petersburg,95,0.3913,0.4238,0.1158,0.2737,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turns 2/3,practice,Streets of St. Petersburg,109,0.6,0.5556,0.211,0.1101,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turns 5-8,practice,Streets of St. Petersburg,109,0.55,0.5375,0.211,0.1651,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 1,qualifying,Streets of St. Petersburg,22,0.4,0.392,0.0909,0.2273,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 10,qualifying,Streets of St. Petersburg,23,0.1818,0.3283,0.1304,0.6087,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 4,qualifying,Streets of St. Petersburg,23,0.3,0.2922,0.0435,0.4783,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 9,qualifying,Streets of St. Petersburg,23,0.4444,0.4378,0.2174,0.3043,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 9a,qualifying,Streets of St. Petersburg,23,0.2727,0.3216,0.1304,0.4783,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turns 11/12,qualifying,Streets of St. Petersburg,23,0.2,0.2866,0.087,0.6087,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turns 13/14,qualifying,Streets of St. Petersburg,22,0.3,0.3999,0.1364,0.2273,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turns 2/3,qualifying,Streets of St. Petersburg,23,0.6,0.6032,0.4348,0.1304,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turns 5-8,qualifying,Streets of St. Petersburg,23,0.5,0.4595,0.1304,0.2609,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
BS to T3,practice,The Milwaukee Mile,73,0.7059,0.6499,0.4247,0.1096,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
SS1 to T2,practice,The Milwaukee Mile,85,0.7059,0.6371,0.4353,0.1059,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
SS2 to T4,practice,The Milwaukee Mile,85,0.6,0.5793,0.2471,0.0706,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
T1 to SS1,practice,The Milwaukee Mile,84,0.3661,0.3937,0.0833,0.3452,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
T2 to BS,practice,The Milwaukee Mile,85,0.6667,0.6001,0.3765,0.1529,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
T3 to SS2,practice,The Milwaukee Mile,73,0.5625,0.5624,0.274,0.137,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
T4 to FS,practice,The Milwaukee Mile,82,0.4833,0.4869,0.1463,0.2073,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Corkscrew,practice,WeatherTech Raceway Laguna Seca,48,0.3717,0.3944,0.0833,0.25,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 1 Entry Turn 1 Exit,practice,WeatherTech Raceway Laguna Seca,48,0.695,0.655,0.4375,0.0417,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 10,practice,WeatherTech Raceway Laguna Seca,48,0.3509,0.3719,0.0208,0.3542,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 11,practice,WeatherTech Raceway Laguna Seca,48,0.3246,0.3654,0.0833,0.375,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 2,practice,WeatherTech Raceway Laguna Seca,48,0.5,0.4879,0.0833,0.1667,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 3,practice,WeatherTech Raceway Laguna Seca,48,0.7368,0.6448,0.3958,0.1042,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 4,practice,WeatherTech Raceway Laguna Seca,48,0.7278,0.6302,0.4583,0.0833,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 4A,practice,WeatherTech Raceway Laguna Seca,48,0.6213,0.5996,0.3333,0.0625,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 5,practice,WeatherTech Raceway Laguna Seca,48,0.5707,0.5848,0.2708,0.0833,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 5A,practice,WeatherTech Raceway Laguna Seca,48,0.5,0.4993,0.1667,0.2292,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 6,practice,WeatherTech Raceway Laguna Seca,48,0.4458,0.4337,0.0625,0.2083,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 7,practice,WeatherTech Raceway Laguna Seca,48,0.5,0.4771,0.1667,0.2292,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 7A,practice,WeatherTech Raceway Laguna Seca,48,0.5263,0.518,0.25,0.2083,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 9,practice,WeatherTech Raceway Laguna Seca,48,0.3684,0.4257,0.0833,0.2708,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Corkscrew,qualifying,WeatherTech Raceway Laguna Seca,34,0.25,0.2974,0.0588,0.5294,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 1 Entry Turn 1 Exit,qualifying,WeatherTech Raceway Laguna Seca,34,0.625,0.6258,0.4706,0.0588,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 10,qualifying,WeatherTech Raceway Laguna Seca,34,0.5,0.4943,0.2353,0.2941,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 11,qualifying,WeatherTech Raceway Laguna Seca,34,0.5,0.5048,0.1765,0.1765,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 2,qualifying,WeatherTech Raceway Laguna Seca,34,0.625,0.6332,0.3529,0.0588,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 3,qualifying,WeatherTech Raceway Laguna Seca,34,0.6667,0.585,0.4118,0.1765,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 4,qualifying,WeatherTech Raceway Laguna Seca,34,0.75,0.6405,0.5294,0.1765,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 4A,qualifying,WeatherTech Raceway Laguna Seca,34,0.75,0.7149,0.6471,0.1176,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 5,qualifying,WeatherTech Raceway Laguna Seca,34,0.875,0.7949,0.8824,0.0588,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 5A,qualifying,WeatherTech Raceway Laguna Seca,34,0.625,0.5302,0.2941,0.2353,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 6,qualifying,WeatherTech Raceway Laguna Seca,34,0.5556,0.5629,0.2941,0.1765,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 7,qualifying,WeatherTech Raceway Laguna Seca,34,0.5556,0.5204,0.1765,0.1765,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 7A,qualifying,WeatherTech Raceway Laguna Seca,34,0.625,0.5752,0.2941,0.1765,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 9,qualifying,WeatherTech Raceway Laguna Seca,34,0.375,0.4387,0.1765,0.2353,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
BS - T2,practice,World Wide Technology Raceway,130,0.4,0.4075,0.0692,0.2385,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
BS - T3,practice,World Wide Technology Raceway,130,0.4444,0.4393,0.0846,0.2231,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 1,practice,World Wide Technology Raceway,130,0.5955,0.5609,0.2615,0.1615,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 2,practice,World Wide Technology Raceway,130,0.4118,0.4365,0.1385,0.2846,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 3,practice,World Wide Technology Raceway,127,0.5,0.4968,0.1102,0.1654,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 4,practice,World Wide Technology Raceway,127,0.5909,0.5441,0.2362,0.1969,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
BS - T2,qualifying,World Wide Technology Raceway,8,0.4167,0.4279,0.125,0.25,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
BS - T3,qualifying,World Wide Technology Raceway,8,0.3247,0.3822,0.125,0.25,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 1,qualifying,World Wide Technology Raceway,8,0.4353,0.5215,0.25,0.125,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
Turn 2,qualifying,World Wide Technology Raceway,8,0.498,0.5121,0.25,0.125,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
